module,metric,mean,std
EmergencyLaneScenario.node[33].nic.mac1609_4,SlotsBackoff,21.0,0.0
EmergencyLaneScenario.node[31].nic.mac1609_4,channelBusy:timeavg,0.0017971559633,0.0
EmergencyLaneScenario.node[4].nic.mac1609_4,ReceivedUnicastPackets,0.0,0.0
EmergencyLaneScenario.node[28].appl,receivedBSMs,856.0,0.0
EmergencyLaneScenario.node[17].appl,generatedBSMs,19.0,0.0
EmergencyLaneScenario.node[25].nic.mac1609_4,ReceivedBroadcasts,541.0,0.0
EmergencyLaneScenario.node[7].appl,receivedWSAs,0.0,0.0
EmergencyLaneScenario.node[0].appl,receivedWSMs,0.0,0.0
EmergencyLaneScenario.node[14].nic.mac1609_4,SentPackets,53.0,0.0
EmergencyLaneScenario.node[22].appl,generatedWSMs,0.0,0.0
EmergencyLaneScenario.node[20].veinsmobility,startTime,26.0,0.0
EmergencyLaneScenario.node[5].veinsmobility,startTime,8.65,4.87903679019
EmergencyLaneScenario.node[12].appl,generatedBSMs,38.0,0.0
EmergencyLaneScenario.node[10].appl,receivedWSMs,15.0,0.0
EmergencyLaneScenario.node[15].appl,generatedWSAs,0.0,0.0
EmergencyLaneScenario.node[4].nic.mac1609_4,channelBusy:timeavg,0.000810733267717,0.00114654998267
EmergencyLaneScenario.node[1].appl,generatedBSMs,24.0,33.941125497
EmergencyLaneScenario.node[28].appl,receivedWSMs,0.0,0.0
EmergencyLaneScenario.node[17].nic.mac1609_4,RXTXLostPackets,0.0,0.0
EmergencyLaneScenario.node[6].appl,generatedWSAs,0.0,0.0
EmergencyLaneScenario.node[34].nic.mac1609_4,TotalLostPackets,7.0,0.0
EmergencyLaneScenario.node[29].nic.mac1609_4,totalBusyTime,0.058574,0.0
EmergencyLaneScenario.node[28].nic.mac1609_4,SentPackets,48.0,0.0
EmergencyLaneScenario.node[14].nic.mac1609_4,SNIRLostPackets,95.0,0.0
EmergencyLaneScenario.node[12].veinsmobility,minSpeed,0.518908109189,0.0
EmergencyLaneScenario.node[25].nic.mac1609_4,DroppedPacketsInMac,0.0,0.0
EmergencyLaneScenario.node[1].appl,generatedWSAs,0.0,0.0
EmergencyLaneScenario.node[29].nic.mac1609_4,ReceivedBroadcasts,541.0,0.0
EmergencyLaneScenario.node[32].appl,generatedWSAs,0.0,0.0
EmergencyLaneScenario.node[15].nic.mac1609_4,sentPackets:count,28.0,0.0
EmergencyLaneScenario.node[13].nic.mac1609_4,sentPackets:count,48.0,0.0
EmergencyLaneScenario.node[16].nic.mac1609_4,ReceivedBroadcasts,727.0,0.0
EmergencyLaneScenario.node[33].nic.mac1609_4,sentPackets:count,14.0,0.0
EmergencyLaneScenario.node[7].appl,generatedWSMs,0.0,0.0
EmergencyLaneScenario.node[30].veinsmobility,totalTime,47.6,0.0
EmergencyLaneScenario.node[31].veinsmobility,maxSpeed,30.9960211775,0.0
EmergencyLaneScenario.node[10].nic.mac1609_4,SNIRLostPackets,0.0,0.0
EmergencyLaneScenario.node[31].nic.mac1609_4,RXTXLostPackets,0.0,0.0
EmergencyLaneScenario.node[11].nic.mac1609_4,RetriesExceeded,0.0,0.0
EmergencyLaneScenario.node[29].veinsmobility,startTime,38.4,0.0
EmergencyLaneScenario.node[0].nic.mac1609_4,totalBusyTime,0.014744,0.0208511647636
EmergencyLaneScenario.node[13].veinsmobility,maxSpeed,12.4062030629,0.0
EmergencyLaneScenario.node[4].nic.mac1609_4,SentAcknowledgements,0.0,0.0
EmergencyLaneScenario.node[15].nic.mac1609_4,sentAcks:count,0.0,0.0
EmergencyLaneScenario.node[17].nic.mac1609_4,RetriesExceeded,0.0,0.0
EmergencyLaneScenario.node[4].nic.mac1609_4,DroppedPacketsInMac,0.0,0.0
EmergencyLaneScenario.node[16].nic.phy80211p,busyTime,0.00248710526316,0.0
EmergencyLaneScenario.node[9].nic.mac1609_4,ReceivedUnicastPackets,0.0,0.0
EmergencyLaneScenario.node[21].nic.mac1609_4,totalBusyTime,0.132482,0.0
EmergencyLaneScenario.node[8].veinsmobility,totalTime,27.4,35.3553390593
